timestamp,1. open,2. high,3. low,4. close,5. volume
2023-01-01 16:00:00,100.00,101.50,99.80,101.00,100000
2023-01-01 15:00:00,99.50,100.50,99.00,100.00,95000
2023-01-01 14:00:00,98.00,99.50,97.50,99.50,110000
2023-01-01 13:00:00,97.00,98.50,96.80,98.00,105000
2023-01-01 12:00:00,96.50,97.50,96.00,97.00,90000
2023-01-01 11:00:00,95.00,96.50,94.80,96.50,120000
2023-01-01 10:00:00,94.00,95.50,93.50,95.00,115000
2023-01-01 09:00:00,93.00,94.50,92.80,94.00,100000
2023-01-01 08:00:00,92.00,93.50,91.80,93.00,98000
2023-01-01 07:00:00,91.00,92.50,90.80,92.00,102000
2023-01-01 06:00:00,90.00,91.50,89.80,91.00,97000
2023-01-01 05:00:00,89.00,90.50,88.80,90.00,103000
2023-01-01 04:00:00,88.00,89.50,87.80,89.00,99000
2023-01-01 03:00:00,87.00,88.50,86.80,88.00,101000
2023-01-01 02:00:00,86.00,87.50,85.80,87.00,96000
2023-01-01 01:00:00,85.00,86.50,84.80,86.00,104000
